AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2016,6,AMAZONAS,LUYA,SANTO TOMAS,PAPA CANCHAN (mejoradas)- color,0.0,5.0,100.55,0.84
2016,1,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,PAPA CANCHAN (mejoradas)- color,0.0,8.0,83.0,1.0
2016,7,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA PERRICHOLI (mejoradas),0.0,6.0,81.0,0.5
2016,3,HUANCAVELICA,TAYACAJA,QUISHUAR,PAPA PERRICHOLI (mejoradas),0.0,2.0,21.0,0.5
2017,11,HUANCAVELICA,TAYACAJA,ACRAQUIA,PAPA PERRICHOLI (mejoradas),10.0,0.0,0.0,0.0
2018,12,APURIMAC,GRAU,SANTA ROSA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2018,2,HUANCAVELICA,TAYACAJA,PAZOS,PAPA CANCHAN (mejoradas)- color,0.0,5.0,61.5,0.4
2018,11,HUANCAVELICA,TAYACAJA,PAMPAS,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2018,5,HUANCAVELICA,HUAYTARA,CORDOVA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2019,2,APURIMAC,GRAU,CURPAHUASI,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,5,AMAZONAS,LUYA,SANTO TOMAS,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2021,3,LIMA,CAÑETE,QUILMANA,PAPA UNICA (mejoradas)-color,0.0,0.0,0.0,0.0
2023,2,APURIMAC,GRAU,PATAYPAMPA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2023,10,AMAZONAS,LUYA,COLCAMAR,PAPA CANCHAN (mejoradas)- color,1.0,0.0,0.0,0.0
2015,2,AMAZONAS,LUYA,TINGO,PAPA CANCHAN (mejoradas)- color,1.0,0.0,0.0,0.0
2015,1,HUANCAVELICA,HUAYTARA,OCOYO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2015,8,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA PERRICHOLI (mejoradas),5.0,40.0,480.5,0.7
2015,4,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA CANCHAN (mejoradas)- color,0.0,8.0,83.0,0.45
2016,3,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2017,8,HUANCAVELICA,TAYACAJA,SALCABAMBA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2018,7,AMAZONAS,LUYA,LUYA,PAPA CANCHAN (mejoradas)- color,0.0,4.0,80.0,0.9
2018,4,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA PERRICHOLI (mejoradas),0.0,8.0,94.0,0.35
2018,9,HUANCAVELICA,HUAYTARA,TAMBO,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2019,10,AMAZONAS,LUYA,CONILA,PAPA CANCHAN (mejoradas)- color,1.0,0.0,0.0,0.0
2019,5,HUANCAVELICA,TAYACAJA,AHUAYCHA,PAPA CANCHAN (mejoradas)- color,0.0,10.0,104.67,0.85
2020,10,APURIMAC,GRAU,HUAYLLATI,PAPA CANCHAN (mejoradas)- color,2.0,0.0,0.0,0.0
2021,3,APURIMAC,GRAU,CHUQUIBAMBILLA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2022,2,LIMA,YAUYOS,CACRA,PAPA CANCHAN (mejoradas)- color,0.0,2.0,16.8,1.2
2022,5,LIMA,CAÑETE,NUEVO IMPERIAL,PAPA UNICA (mejoradas)-color,13.0,0.0,0.0,0.0
