ID,CULTVRNAME,LAT,LONG,SPP2
6573,Amaja,-14.22,-72.18,Papa
6574,Cayma Mascelo,-14.32,-72.95,Papa
6575,Puca Socco,-13.61,-73.51,Papa
6576,Vacapa Runrunnin,-13.61,-73.51,Papa
6577,Alcca Chutalo,-13.61,-73.51,Papa
6578,Muyascu,-14.03,-71.57,Papa
6579,Muru Hua±a,-14.03,-71.57,Papa
6580,Lluto Runto,-14.03,-71.57,Papa
6581,Puca Almilla,-14.03,-71.57,Papa
6582,Yana Socco Huaccollo,-13.59,-71.76,Papa
6583,Huamanpa Uman,-14.37,-72.88,Papa
6584,Puca Bole Aracc,-13.45,-71.87,Papa
6585,Yurac Trombos,-13.33,-72.17,Papa
6586,Yurac Suito,-13.33,-72.17,Papa
6587,Ppaspa Sunchu,-13.33,-72.17,Papa
6588,Yana Bole,-13.33,-72.17,Papa
6589,Cusi,-13.05,-72.97,Papa
6590,Alponto,-13.05,-72.97,Papa
6591,Puca Imilla,-13.05,-72.97,Papa
6592,Yurac Pputis,-13.05,-72.97,Papa
6593,Alponto,-13.05,-72.97,Papa
6594,Sua Llulla,-13.53,-71.88,Papa
6595,Manca Platillo,-13.53,-71.88,Papa
6596,Macu,-13.61,-73.51,Papa
6597,Cuncun Tullu,-13.61,-73.51,Papa
6598,Puca -awi Ruyro,-13.61,-73.51,Papa
6599,Duraznillo,-13.61,-73.51,Papa
6600,Yurac Chelchi,-13.61,-73.51,Papa
6601,Azul Ttica,-13.05,-72.98,Papa
6602,Yana Chojllus,-13.05,-72.98,Papa
6604,Muca Kawina,-13.05,-72.97,Papa
6605,Puca Platillo,-13.05,-72.97,Papa
6606,Puca Palta,-13.05,-72.97,Papa
6607,Wuaca Wuasi,-13.05,-72.98,Papa
6608,Azul Qanina,-13.52,-71.93,Papa
6609,Yana Jallum,-13.05,-72.98,Papa
6610,Wuaca Callum,-13.05,-72.98,Papa
6611,Muru Chimaco,-13.38,-71.67,Papa
6612,Ocke Ccorani,-13.38,-71.67,Papa
6613,Yana Chote,-13.59,-71.76,Papa
6614,Puca Suito,-13.4,-72.05,Papa
6615,Olones,-13.4,-72.05,Papa
6616,Yana Callum,-13.23,-71.63,Papa
6617,Alcca Ppalta,-13.38,-71.67,Papa
6618,Yurac Cusi,-13.38,-71.67,Papa
6619,Charca,-13.38,-71.67,Papa
6620,Yurac Misquilo,-13.38,-71.67,Papa
6621,Amajaya,-13.53,-71.88,Papa
6622,Waca Callu,-13.53,-71.88,Papa
6623,Misi Lumpu,-13.53,-71.88,Papa
6624,Azul -awi,-13.53,-71.88,Papa
6625,Yurac Cusi,-13.53,-71.88,Papa
6626,Puca Platillo,-13.05,-72.98,Papa
6627,Socco Chimaco,-13.23,-71.63,Papa
6628,Yana Tala,-13.23,-71.63,Papa
6629,Socco,-13.23,-71.63,Papa
6630,Mantaro,-13.23,-71.63,Papa
6631,Puca Cusi,-13.23,-71.63,Papa
6632,Char Asani,-13.33,-71.58,Papa
6633,Socco,-13.33,-71.58,Papa
6634,Muru Parocco,-16.48,-69.1,Papa
6635,Puca Socco,-16.48,-69.1,Papa
6636,Alcca Callhua,-16.48,-69.1,Papa
6637,Paccocha Uma,-16.48,-69.1,Papa
6638,Puca Parcco,-16.48,-69.1,Papa
6639,Yana Cusi,-13.52,-71.97,Papa
6640,Jampara,-13.38,-71.67,Papa
6641,Imilla Negra,-13.38,-71.67,Papa
6642,Carioca,-13.61,-73.51,Papa
6643,Negru,-13.05,-72.98,Papa
6644,Ojona Roja,-14.42,-73.2,Papa
6645,Pumapa Maquin,-14.2,-73.55,Papa
6646,Cuchi Acca,-14.2,-73.55,Papa
6647,Yana Chipao Warmi,-14.2,-73.55,Papa
6648,Wuaca Wuasi,-13.23,-71.63,Papa
6649,Muru Cusi,-13.23,-71.63,Papa
6650,Alcca Pole,-13.23,-71.63,Papa
6651,Aracca,-14.2,-73.55,Papa
6653,Pepino Rojo,-15.3,-73.35,Papa
6654,Yurac Sisa,-15.3,-73.35,Papa
6655,Lime±a,-15.3,-73.35,Papa
6656,Lime±a,-15.3,-73.35,Papa
6657,Oyolina Rosada,-15.18,-73.35,Papa
6658,Kercca,-15.3,-73.48,Papa
6659,Negra,-15.15,-73.35,Papa
6660,Puca Papa,-15.15,-73.35,Papa
6661,Muru Mactillo,-13.38,-71.67,Papa
6662,Saccma,-13.38,-71.67,Papa
6663,Chojlluyma,-14.22,-73.37,Papa
6664,Durasnillo,-14.22,-73.37,Papa
6665,Yurac Chojllus,-15.17,-73.3,Papa
6666,Puca Chojllus,-15.17,-73.3,Papa
6667,Yurac Charcas,-15.28,-73.35,Papa
6668,Yana Tarme±a,-15.25,-73.45,Papa
6669,Ttocyali Roja,-15.25,-73.45,Papa
6670,Pepino Negro,-15.22,-73.35,Papa
6671,Monda Papa,-15.08,-73.75,Papa
6672,Wa±a,-15.08,-73.75,Papa
6674,Puca Chojllus,-15.08,-73.75,Papa
6675,Yurac Misquilla,-15.08,-73.75,Papa
6676,Puca Wa±a,-15.08,-73.75,Papa
6677,Asnupa Locso,-15.08,-73.75,Papa
6678,Cuchipa Acan,-15.08,-73.75,Papa
6679,Wa±a,-15.1,-73.77,Papa
6680,Wa±a,-15.1,-73.77,Papa
6681,Wa±a,-15.1,-73.77,Papa
6682,Payapa Quirun Paqui,-14.2,-73.55,Papa
6683,Mana Paguj,-14.2,-73.55,Papa
6684,Puca Papa,-13.23,-74.35,Papa
6686,Yurac Chojllu,-13.23,-74.35,Papa
6687,Blanca,-14.38,-73.17,Papa
6688,Puca -awi,-14.38,-73.17,Papa
6689,Cerre±a,-13.58,-74.35,Papa
6690,Wuaman Uma,-13.55,-74.2,Papa
6691,Puca Suito,-13.55,-74.2,Papa
6692,Tambena,-13.55,-74.2,Papa
