NOMBDEP,NOMBPROV,NOMBDIST,INVIERNO,MAYO,AGOSTO,OCTUBRE,MARZO,DICIEMBRE,ENERO,SETIEMBRE,VERANO,JUNIO,NOVIEMBRE,ABRIL,FEBRERO,ANUAL,JULIO,PRIMAVERA,OTOÑO
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,25.018132757151598,24.973889319737797,25.05997135484492,25.369612438057498,24.21892624669349,25.098688089236227,24.708611822885967,25.230542283558695,24.36600316727976,24.60074370761914,25.37528327474924,24.691974837551555,24.226236654691995,24.957380660915625,24.256483285705784,25.289853924770494,24.793375556685884
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,22.18991542495706,22.466142354326838,22.157481376515666,23.003897588859765,21.782751807117112,22.65992232028499,22.107990026958113,22.449001697631953,21.877202797575222,22.284809094820687,23.148558641941474,22.120606534502635,21.7636988540779,22.31822973543537,21.945366688196668,22.93914485173458,22.2888895098747
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,22.779732268000394,22.9170850900503,22.758465797485684,23.526059703616863,22.131014055484663,23.13454582025052,22.528863417532612,23.090610217471685,22.290275120847816,22.75837445709391,23.578900478428555,22.560213025535464,22.173982010286586,22.825854766302804,22.257776808450405,23.427154844642097,22.745827486198607
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,21.938615287164062,22.141658859690004,21.92469562155473,22.857745667989814,21.161605429337406,22.275489432603433,21.48270972272894,22.199704483972013,21.26114957626898,22.101841204978257,22.977230142265427,21.61048620859007,21.12463069312587,21.94098655236589,21.68203005221636,22.709665214330734,21.939646086549175
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,24.79425016250803,24.66524992035706,24.887035701821375,25.733076921898896,24.188797153909267,25.11531843594981,24.535537813446982,25.445785650951574,24.286320057583275,24.374614035326104,25.724288795147192,24.410755226496317,24.252186437131233,24.73863040722811,24.26376991929351,25.56090433572838,24.490662060385624
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,23.200923412996932,23.313821828418458,23.20594285388111,24.015554892823307,22.4514215167368,23.472029793461246,22.893076983751868,23.439903996524116,22.61998034771318,23.180770443638313,24.049078554603245,22.908608936557815,22.533475831862187,23.224157591669783,22.89288044523008,23.858708825292872,23.138627435440068
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,23.031993319540497,23.196348137606236,23.034316005593286,23.948739483562985,22.36407388294912,23.412405796374294,22.7908923924592,23.345065095557704,22.521483039258534,22.995497282143283,24.00326527379747,22.796737823944003,22.44912124881326,23.08651658827881,22.678364134105408,23.791477162902613,22.975025128086095
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,24.06180971284271,23.991480457091274,24.08299376066341,25.165029113808803,23.735066486076075,24.352128162613766,23.87484178545204,24.752345986605015,23.799646639177706,23.98269243234674,25.18947204222337,23.908461044879452,23.765686898851943,24.014328814547618,23.949283888135685,24.909221334134152,23.967992592345322
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,24.86502088329554,24.605290984027334,24.946080280060894,25.526545529745555,23.73320080112808,25.115039989079484,24.36741861672087,25.3399896434014,23.77027838631522,24.134289515154396,25.544653187058195,24.062637582760843,23.744502083210836,24.712094898486278,23.89092452598765,25.4476982655427,24.300393293266737
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,22.534282286721794,22.627047762066674,22.53719279275278,23.181600532407213,21.47008530048331,22.42344193648657,21.74110785221442,22.6439946979022,21.531307219821542,22.709063457825255,23.210667949644336,22.096622412342445,21.377391466670606,22.322169652951516,22.426670163157723,22.96772388013941,22.44981090941416
